text,label
Win a FREE iPhone now! Click the link below to claim your prize.,1
Meeting scheduled for tomorrow at 10 AM. Please confirm attendance.,0
"Congratulations! You've won a lottery of $1,000,000. Claim now!",1
Can we reschedule our call to next Monday?,0
Get cheap medicines online without prescription. Limited offer!,1
Reminder: Your electricity bill is due on the 15th of this month.,0
Earn money from home with this simple trick. Sign up now!,1
Team lunch planned for Friday at 1 PM. Let me know if you're in.,0
Exclusive deal for you! Buy one get one free on all items.,1
Please find attached the report for last quarter’s performance.,0
