text,label
Win a FREE iPhone now! Click the link below to claim your prize.,1
Meeting scheduled for tomorrow at 10 AM. Please confirm attendance.,0
"Congratulations! You've won a lottery of $1,000,000. Claim now!",1
Can we reschedule our call to next Monday?,0
Get cheap medicines online without prescription. Limited offer!,1
Reminder: Your electricity bill is due on the 15th of this month.,0
Earn money from home with this simple trick. Sign up now!,1
Team lunch planned for Friday at 1 PM. Let me know if you're in.,0
Exclusive deal for you! Buy one get one free on all items.,1
Please find attached the report for last quarter’s performance.,0
URGENT: Your account has been compromised. Reset your password now!,1
The weekly report is ready for review. Let me know your thoughts.,0
Claim your FREE vacation to the Bahamas! Limited slots available!,1
The budget proposal has been updated. Please check the latest version.,0
Final notice: Your warranty is about to expire. Renew now!,1
Can you send me the updated sales numbers for this quarter?,0
Hurry! This is your last chance to grab our special discount offer!,1
Reminder: The project deadline is approaching. Please submit your work.,0
Congratulations! You are our lucky customer. Click to claim your prize!,1
Your meeting with the HR team is scheduled for next Tuesday at 2 PM.,0
Make $5000 per week from home! No experience needed. Sign up today!,1
The new company policy document has been shared with all employees.,0
We found a suspicious login attempt on your account. Verify now!,1
Please review the attached file and provide your feedback.,0
Act now! Get 50% off on all items in our exclusive sale!,1
Reminder: The monthly finance meeting is scheduled for Friday.,0
Click here to unlock special rewards for being a loyal customer!,1
Your leave request has been approved. Enjoy your time off!,0
This investment opportunity will change your life! Get started today!,1
The IT team will perform system maintenance this Saturday.,0
